id;nombre;tipo;ciudad;direccion;telefono;email
1;murky breakable;pension rich a;meanwhile deeply on;meh without nougat;provided aha as;JoseLuis.MaderaSolano@hotmail.com
2;miserably supposing rough;premise reluctantly;signature;though monthly;merge whereas wilt;Ester33@hotmail.com
3;spherical barring;gosh;helpfully ugh;past however aha;impressionable misread nautical;Teresa.SaucedaAviles@yahoo.com
4;from amid ignorance;lest fast among;athwart;lone;woot mysterious accurate;Benjamin_RegaladoRojas52@gmail.com
5;pfft;ew;than;meh;openly;Gloria50@hotmail.com
6;tomb wire outfit;majority;proofread;hm ouch duh;boo jubilantly qua;Francisca52@gmail.com
7;gah consequently if;ack yahoo table;huzzah silent now;boohoo;onto vibration;Elena80@hotmail.com
8;zowie;repurpose nervously;powerfully ignite disappointment;t-shirt yearningly while;anxiously aside incidentally;Margarita.RosadoSolano@hotmail.com
9;onto mesh;yum aha;microchip for;frugal;huzzah chip butter;Lucia6@gmail.com
10;outside cycle;healthily;bah representation via;potable;until whereas;Veronica_VargasPeralta@hotmail.com
